"Title","Τίτλος"
"The title of the payment method to be displayed during the checkout.","Ο τίτλος της μεθόδου πληρωμής που θα εμφανιστεί στη σελίδα πληρωμής."
"Description","Περιγραφή"
"A short description of the payment method to be displayed during the checkout.","Μια σύντομη περιγραφή που θα εμφανιστεί στη σελίδα πληρωμής."
"Pay Via Cardlink: Accepts Visa, Mastercard, Maestro, American Express, Diners, Discover.","Με το Cardlink Payment Gateway μπορείτε να πραγματοποιήσετε πληρωμές σας μέσω διαφορετικών σχημάτων, όπως Visa, Mastercard, Maestro, American Express, Diners και Discover."
"Enable Cardlink Payment Gateway","Ενεργοποίηση του Cardlink Payment Gateway"
"Merchant ID","MID Επιχείρησης"
"Business Partner","Οργανισμός Αποδοχής Πληρωμών"
"Identify the business partner that will handle payment transactions as agreed with Cardlink.","Επιλέξτε τον οργανισμό αποδοχής πληρωμών που έχει συμφωνηθεί με την Cardlink."
"Payment Action","Τύπος Συναλλαγών"
"Identify the type of transaction to perform. By selecting the 'Authorize' option, you will need to manually capture the order amount on Cardlink's merchant dashboard.","Καθορισμός του τύπου των εκτελούμενων συναλλαγών. Επιλέγοντας την Προ-έγκριση, θα πρέπει να ολοκληρώνετε τις συναλλαγές μέσα από το περιβάλλον διαχείρισης εμπόρου της Cardlink προκειμένου να λάβετε τα δεσμευμένα ποσά."
"Finalize Payment","Αγορά"
"Authorize","Προ-έγκριση"
"Accept Installments","Αποδοχή Πληρωμών με Δόσεις"
"No Installments","Απενεργοποίηση Πληρωμών με Δόσεις"
"Fixed Maximum Number","Καθορισμός Μέγιστου Πλήθους Δόσεων"
"Based on Order Amount","Καθορισμός Βάσει Ποσού Αγοράς"
"Enable installment payments and define the maximum number of Installments.","Ενεργοποίηση πληρωμών με δόσεις και καθορισμός μέγιστου πλήθους δόσεων."
"The maximum number of installments available for all orders.","Το μέγιστο πλήθος δόσεων που μπορεί να επιλεχθεί για όλες τις αγορές."
"Order Amount Based Installments","Μέγιστο Πλήθος Δόσεων Βάσει Ποσού Αγοράς"
"Start Amount","Ελάχιστο Ποσό"
"End Amount","Μέγιστο Ποσό"
"Maximum Installments","Μέγιστο Πλήθος Δόσεων"
"Add Range","Προσθήκη Εύρους"
"Set the amount ranges to limit the maximum allowed number of installments.","Ρύθμιση εύρων ποσών αγοράς για τον καθορισμό του μέγιστου επιτρεπτού πλήθους δόσεων."
"The merchant ID provided by Cardlink.","Το MID επιχείρησης που σας παρέχεται από την Cardlink."
"The shared secret code provided by Cardlink.","Ο μυστικός κωδικός που σας παρέχεται από την Cardlink."
"Transactions Environment","Περιβάλλον Συναλλαγών"
"Production","Παραγωγικό Περιβάλλον"
"Sandbox","Περιβάλλον Δοκιμών"
"Identify the working environment for payment transactions.",
"Sort Order","Σειρά Εμφάνισης"
"Enabled","Ενεργοποίηση"
"New Order Status","Κατάσταση Νέας Παραγγελίας"
"Payment Applicable From","Αποδοχή Παραγγελιών από Χώρα/ες"
"Allow Tokenization","Ασφαλή Αποθήκευση των Στοιχείων της Κάρτας"
"Enable customers to select whether they want to secure store their payment cards for future checkouts.","Ενεργοποίηση της επιλογής από τον πελάτη για ασφαλής αποθήκευσης των στοιχείων της κάρτας του για μελλοντικές αγορές."
"Checkout without Leaving Your Store","Πληρωμή εντός Ηλεκτρονικού Καταστήματος"
"Perform the payment flow without having the customers leave your website for Cardlink's payment gateway. You will need to have a valid SSL certificate properly configured on your domain.","Οι πελάτες θα παραμείνουν στον ιστότοπο για να ολοκληρώσουν τις πληρωμές χωρίς να ανακατευθύνονται στη σελίδα πληρωμών ηλεκτρονικού εμπορίου της Cardlink. Πρέπει να έχετε εγκαταστήσει ένα έγκυρο πιστοποιητικό SSL στον τομέα σας."
"Force Store Language on Cardlink's Payment Gateway","Επιβολή Γλώσσας Καταστήματος στη Σελίδα Πληρωμών Ηλεκτρονικού Εμπορίου της Cardlink"
"Instruct Cardlink's Payment Gateway to use the language of the store that the order gets placed.","Χρήση της γλώσσας του καταστήματος όπου πραγματοποιείται η παραγγελία στη σελίδα πληρωμών ηλεκτρονικού εμπορίου της Cardlink."
"Full URL of custom CSS stylesheet, to be used to display payment page styles.","Πλήρες URL του CSS stylesheet που θα χρησιμοποιηθεί για την εμφάνιση των σελίδων πληρωμής."
"Display Cardlink Logo","Εμφάνιση Λογότυπου της Cardlink"
"Display the Cardlink logo next to the payment method title.","Εμφάνιση του λογότυπου της Cardlink μαζί με τον τίτλο της μεθόδου πληρωμών."
"Installments","Δόσεις"
"Stored Cards","Αποθηκευμένες Κάρτες"
"Card","Κάρτα"
"New Card","Νέα Κάρτα"
"Remove","Αφαίρεση"
"Expired","Ληγμένη"
"Securely store card","Ασφαλή αποθήκευση κάρτας"
"Redirecting to Cardlink payment gateway...","Γίνεται ανακατεύθυνση στη σελίδα πληρωμών ηλεκτρονικού εμπορίου της Cardlink"
"Redirecting back to the store...","Γίνεται ανακατεύθυνση πίσω στο ηλεκτρονικό κατάστημα"
"Payment Status","Κατάσταση Πληρωμής"
"Payment Method","Μέθοδος Πληρωμής"
"Transaction ID","Αριθμός Συναλλαγής"
"Payment Reference","Κωδικός Αναφοράς"
"Log Debug Information","Καταγραφή Πληροφοριών Αποσφαλμάτωσης"
"Store debug log information in file cardlink.log. Use only for a limited time frame and delete the log file afterwards.","Αποθήκευση πληροφοριών αποσφαλμάτωσης της διαδικασίας πληρωμής στο αρχείο cardlink.log. Χρησιμοποιήστε το μόνο για περιορισμένο χρονικό διάστημα και στη συνέχεια διαγράψτε το αρχείο καταγραφής."